EDGE_ID,FROM_ID,TO_ID,NAME,PRIORITY,TYPE
-120680198,1352537102,1352537132,,2,highway.service
-138157272#0,1514516121,1514515997,,2,highway.service
-138157272#1,1514516049,1514516121,,2,highway.service
-138157272#2,1514516027,1514516049,,2,highway.service
-138157275,1514516070,1514516084,,2,highway.service
-138157280,62668769,62870251,Riverbank Alley,2,highway.service
-138157281,1514515999,1514515900,,2,highway.service
-138227203,1515316958,62929157,,2,highway.service
-138227205#0,1978960562,1515317067,,2,highway.service
-138227205#1,1978960556,1978960562,,2,highway.service
-138227207#0,62898633,62939888,Poplar Street,4,highway.residential
-138227207#1,62916663,62898633,Poplar Street,4,highway.residential
-138227207#2,62870383,62916663,Poplar Street,4,highway.residential
-138227207#3,63047646,62870383,Poplar Street,4,highway.residential
-138227207#4,63047648,63047646,Poplar Street,4,highway.residential
-138227207#5,62752274,63047648,Poplar Street,4,highway.residential
-138227207#6,62915555,62752274,Poplar Street,4,highway.residential
-138227207#7,63047651,62915555,Poplar Street,4,highway.residential
-138227208#0,1515317164,1515316958,,2,highway.service
-138227208#1,1515316969,1515317164,,2,highway.service
-138227208#2,1515317064,1515316969,,2,highway.service
-138227208#3,1515317087,1515317064,,2,highway.service
-138227210,1978960562,cluster_1978960561_62898655,,2,highway.service
-138227211,1515316969,1515316912,,2,highway.service
-138227214#0,62916661,62898638,Walnut Street,4,highway.residential
-138227214#1,62870382,62916661,Walnut Street,4,highway.residential
-138227214#2,62960636,62870382,Walnut Street,4,highway.residential
-138227214#3,62960637,62960636,Walnut Street,4,highway.residential
-138227214#4,62752267,62960637,Walnut Street,4,highway.residential
-138227214#5,62736921,62752267,Walnut Street,4,highway.residential
-138227214#6,62915512,62736921,Walnut Street,4,highway.residential
-138227214#7,62960639,62915512,Walnut Street,4,highway.residential
-138227217#0,cluster_1599403140_1599403473,1515317087,,2,highway.service
-138227221,1515316960,1515317164,,2,highway.service
-138227222,1515317160,1515317064,,2,highway.service
-138227228#0,1515316914,1515317087,,2,highway.service
-138227228#1,1515317160,1515316914,,2,highway.service
-138227228#2,1515316912,1515317160,,2,highway.service
-138227228#3,1515316960,1515316912,,2,highway.service
-138227228#4,1515316958,1515316960,,2,highway.service
-138227229#0,5178040575,62659043,,2,highway.service
-138227229#1,1515317067,5178040575,,2,highway.service
-138227229#2,29836516,1515317067,,2,highway.service
-138227229#3,29836441,29836516,,2,highway.service
-138227229#4,1515317110,29836441,,2,highway.service
-138227230#0,1599403553,1515316914,,2,highway.service
-138227230#1,1599403325,1599403553,,2,highway.service
-146294724#0,1595619273,1595619343,,2,highway.service
-146294724#1,1595619180,1595619273,,2,highway.service
-146294725,cluster_1595619147_1595619302_1595619373,1595619217,,2,highway.service
-146294726,1595619250,1595619217,,2,highway.service
-146294728,cluster_1595619171_1595619261_3271383643,cluster_1595619147_1595619302_1595619373,,2,highway.service
-146294729#0,1595619172,1595619300,,2,highway.service
-146294729#1,1595619211,1595619172,,2,highway.service
