JUNCT_ID,X,Y,TYPE
1611272434,4114.82,9820.99,right_before_left
1611272436,5096.65,9853.08,rail_crossing
1611272438,5071.34,9853.51,rail_crossing
1611272459,4063.75,9860.94,dead_end
1611272483,4326.06,9877.78,right_before_left
1611281587,4003.17,13297.81,priority
1611281596,3982.75,13244.03,right_before_left
1611281597,3981.14,13582.95,priority
1611281603,3856.29,13616.50,priority
1611281607,3980.80,13254.46,right_before_left
1611281614,3963.39,13254.98,priority
1611281617,3877.49,13597.24,priority
1611281628,4002.72,13271.52,right_before_left
1611281630,4002.44,13793.31,priority
1611281634,3980.24,13314.41,priority
1611281637,3877.48,13615.75,right_before_left
1611281638,4003.11,13293.59,priority
1611281639,3899.14,13595.36,priority
1611281643,3981.43,13403.66,priority
1611281650,4027.68,13271.99,priority
1611281653,3898.85,13630.95,right_before_left
1611281655,3936.51,13629.76,right_before_left
1611281664,3936.10,13593.97,priority
1611281665,4002.21,13242.66,priority
1611281666,3917.80,13597.53,priority
1611281668,4022.31,13795.05,priority
1611281672,3917.45,13631.09,right_before_left
1611281676,3981.94,13298.79,right_before_left
1611281678,3899.42,13584.13,priority
1611281683,3935.96,13583.61,priority
1611281689,3877.47,13630.78,priority
1653894051,3657.72,10338.59,priority
1653894052,3556.94,10505.47,priority
1653894064,3639.60,10372.39,right_before_left
1653894070,3599.36,10350.04,right_before_left
1653894071,3690.66,10358.65,right_before_left
1653894072,3577.74,10483.00,right_before_left
1653894086,3969.91,10415.09,priority
1653894088,3879.75,10426.01,priority
1653894090,3678.19,10298.32,priority
1653894107,4056.95,10442.44,priority
1653894109,3836.31,10614.27,right_before_left
1653894110,3698.08,10483.81,right_before_left
1653894126,3616.95,10483.26,right_before_left
1653894133,3718.06,10320.41,priority
1653894135,3994.72,10400.81,right_before_left
1653894138,3879.11,10397.86,priority
1653894145,4072.18,10395.93,priority
1653894148,3837.74,10484.75,right_before_left
1653894149,3798.06,10484.48,right_before_left
1653894150,3936.86,10452.83,priority
1653894152,3718.45,10483.94,right_before_left
1653894153,3638.25,10483.41,right_before_left
1653894155,3796.76,10614.84,right_before_left
1653894158,3599.22,10483.14,right_before_left
1653894160,3579.19,10350.16,right_before_left
